OBJECTID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,County,GlobalID,Shape_STArea__,Shape_STLength__,ID,GEOID10_1,Total_Population,Population_Under_18,Population_Under_5,PopPerSqMile
46,48217,2648217,5921036,126346,Wayne,f6bf21cf-96fc-4875-8e8f-f8a46f2a9830,65088817.4599181,40091.344331484,15,48217,7701,1766,339,3368.58579123229
47,48180,2648180,61116827,95634,Wayne,2a588302-d463-4583-a36d-f2516318edd9,658853025.055701,104934.35418698,411,48180,62331,14923,4234,2641.44447694661
48,48185,2648185,31512594,23686,Wayne,e1a6939e-0f10-41e8-a476-66c4344704cb,339422799.970873,102006.617676821,415,48185,47872,9050,3033,3934.55488942679
49,48208,2648208,8190764,0,Wayne,3b901e74-1dbe-4784-9123-31b03db75407,88156260.9110157,51598.8197379479,6,48208,9413,1910,650,2976.47224052772
50,48096,2648096,94741211,296426,Macomb,e1cc9c0e-7210-4af5-9086-6d0bbd4cfd80,1022800487.09544,127940.741136059,354,48096,3870,694,87,105.796237779909
51,48313,2648313,23503570,406887,Macomb,0260aa63-bdea-4931-9357-814bb4bb65b3,257331037.623948,84151.6246710831,46,48313,33553,7135,1520,3697.39384957796
52,48091,2648091,20698268,0,Macomb,95263672-6909-4772-8a66-53ae74184c38,222765999.987319,64094.0929001315,349,48091,30505,7683,2168,3817.11473450413
53,48316,2648316,28762237,627097,Macomb,7318e2f0-dc01-4b93-aa73-2285bb2c4dac,316291315.410534,74317.1263751049,49,48316,26386,6101,1449,2376.01450858819
54,48047,2648047,46696164,13420267,Macomb,57503d92-367e-4ae3-b223-4b6232b0bd48,646986294.002062,140373.937292451,318,48047,39681,9779,2538,2200.89636613573
55,48045,2648045,37852081,23892437,Macomb,90a18ef9-69fa-489e-bfc2-c861d0094b5f,664516840.810115,117568.611354574,317,48045,24754,4730,958,1693.76758242292
56,48397,2648397,462102,0,Macomb,8f7749fd-669a-4bd2-9199-54b8418f7a7f,4973359.53625137,9243.96477836112,89,48397,0,0,0,0
57,48340,2648340,19451041,223003,Oakland,e028aa7a-4a51-46f0-af62-372749887614,211734778.846039,80400.551358838,63,48340,25371,7481,2239,3378.25887753422
58,48220,2648220,11479188,0,Oakland,573027ba-0a93-4867-8d0f-8284720d476b,123545425.064257,56216.4514013447,18,48220,22809,4239,1493,5146.2782886406
59,48329,2648329,26456696,5606231,Oakland,6d65e507-c5af-4a27-a7e2-5979b3f8569f,345064817.924751,118186.216954637,58,48329,24911,5152,1009,2438.6739845317
60,48076,2648076,18438102,0,Oakland,c15b15bc-6822-419d-bf98-c6a3ed320f6e,198439216.026267,62034.098992938,339,48076,25456,5519,1287,3575.7911057195
61,48393,2648393,34281698,636214,Oakland,0ff65365-5dc4-4f9d-99ce-85f136300afd,375802936.54346,110482.302977472,88,48393,16445,4066,1213,1242.42374724661
62,48359,2648359,27891596,772580,Oakland,3f8f3479-2cab-423f-a7a8-669579548d38,308486268.346781,104988.167042993,72,48359,8148,2173,517,756.616564524538
63,48167,2648167,46056638,521639,Wayne,727c3d0e-b60a-405b-89a1-5e3aa986f335,501305812.110471,186513.015568843,401,48167,22193,4936,1122,1248.02122455736
64,48070,2648070,3847786,9241,Oakland,6fed393e-d221-4f7d-acbd-9bac53ad7076,41511200.7719738,26566.1161247157,333,48070,6310,1675,409,4247.33620611621
65,48207,2648207,16061703,521193,Wayne,2742128a-b72d-4d29-8305-3d3331c69804,178480348.612357,97546.2540646011,5,48207,21828,4155,1404,3519.82073013494
66,48174,2648174,106680136,588742,Wayne,1173bf7b-c5a3-4f1f-a808-fa94ad9b2fee,1154584185.5202,262991.055213012,406,48174,31602,8075,2008,767.236399736144
67,48188,2648188,46715127,44071,Wayne,84b9c44e-9bf1-4b48-96e0-f1a74c9ace49,503275552.383417,95606.4842881331,418,48188,41559,11663,3031,2304.12345958482
68,48126,2648126,25386287,240192,Wayne,a48178d0-c923-45f0-8548-41c256ffbcde,275817089.543609,115823.42803198,372,48126,47986,17039,4692,4895.6859950225
69,48228,2648228,22299441,0,Wayne,b977d0f0-dd51-4149-a956-5de624ea7584,240005916.164842,94663.0918082456,25,48228,52336,15686,4207,6078.61645114942
70,48219,2648219,21773613,5168,Wayne,1e31f54e-ed11-4e24-acf2-dee5eb596dc9,234397032.168268,72723.3636361511,17,48219,47476,11117,3291,5647.31239216111
71,48203,2648203,20756114,18585,Wayne,8d46694b-2266-4e51-9b5e-c4275fa13a0b,223591109.771188,69684.1976915681,1,48203,25134,5483,1543,3136.27224052543
72,48138,2648138,23824274,3950375,Wayne,e6066260-bc05-48f3-80dd-d94265cb9cf7,298961165.018678,154778.340273414,381,48138,10264,2052,294,1115.82261392309
73,48233,2648233,48551,0,Wayne,f38f9747-6249-43c5-b513-b88e0b2cc930,522550.37114135,3671.94812245938,28,48233,0,0,0,0
